"query","superkingdom","kingdom","subkingdom","phylum","subphylum","class","subclass","superorder","order","suborder","family","subfamily","tribe","subtribe","genus","species"
"OTU00348","Eukaryota","Fungi","Dikarya","Ascomycota","Saccharomycotina","Saccharomycetes","","","Saccharomycetales","","Phaffomycetaceae","","","","Cyberlindnera",""
"OTU00349","","","","","","","","","","","","","","","",""
"OTU00350","","","","","","","","","","","","","","","",""
"OTU00351","","","","","","","","","","","","","","","",""
"OTU00352","","","","","","","","","","","","","","","",""
"OTU00353","","","","","","","","","","","","","","","",""
"OTU00354","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Zygophlyctidales","","Zygophlyctidaceae","","","","Zygophlyctis",""
"OTU00355","","","","","","","","","","","","","","","",""
"OTU00356","","","","","","","","","","","","","","","",""
"OTU00357","","","","","","","","","","","","","","","",""
"OTU00358","","","","","","","","","","","","","","","",""
"OTU00359","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Cladochytriales","","","","","","",""
"OTU00360","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00361","","","","","","","","","","","","","","","",""
"OTU00362","","","","","","","","","","","","","","","",""
"OTU00363","","","","","","","","","","","","","","","",""
"OTU00364","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Zygophlyctidales","","Zygophlyctidaceae","","","","Zygophlyctis","Zygophlyctis sp."
"OTU00365","","","","","","","","","","","","","","","",""
"OTU00366","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00367","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00368","","","","","","","","","","","","","","","",""
"OTU00369","","","","","","","","","","","","","","","",""
"OTU00370","","","","","","","","","","","","","","","",""
"OTU00371","","","","","","","","","","","","","","","",""
"OTU00372","","","","","","","","","","","","","","","",""
"OTU00373","","","","","","","","","","","","","","","",""
